Reporting Date,Sale Month,Store,Artist,Title,ISRC,Quantity,Song/Album,Country of Sale,Earnings.USD
2/7/2021,2020-12,youtube,John King Cave,Country Western Bar,QZPLR2031051,1,Song,CZ,0.001554
2/7/2021,2020-12,youtube,John King Cave,Country Western Bar,QZPLR2031051,7,Song,SE,0.015623
2/7/2021,2020-12,youtube,John King Cave,Country Western Bar,QZPLR2031051,8,Song,ES,0.002972
2/7/2021,2020-12,youtube,John King Cave,Country Western Bar,QZPLR2031051,1,Song,ZA,0.001072
2/16/2021,2020-04,itunes,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.69958196
9/19/2020,2020-05,amazon unlimited,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.013346
9/19/2020,2020-05,amazon unlimited,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.006513
6/27/2020,2020-05,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,US,0.00642995
6/27/2020,2020-05,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,31,Song,US,0.14879874
6/27/2020,2020-05,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,4,Song,US,0.01418788
6/26/2020,2020-05,itunes,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.69999405
6/26/2020,2020-05,itunesmatch,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.00047052
7/21/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,93,Song,US,0.50806604
7/21/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,21,Song,US,0.046608
7/21/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,26,Song,US,0.07584601
7/21/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,8,Song,US,0.012341
7/21/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,US,0.003209
7/22/2020,2020-05,spotify,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,NL,0.0113599
8/27/2020,2020-05,youtube,John King Cave,Devil Rides Beside,QZDA82018398,3,Song,US,0.022842
7/25/2020,2020-06,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,5,Song,US,0.02301212
7/24/2020,2020-06,itunes,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.70006464
7/24/2020,2020-06,itunesmatch,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.00044682
8/25/2020,2020-06,spotify,John King Cave,Devil Rides Beside,QZDA82018398,42,Song,US,0.18905302
9/3/2020,2020-07,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,US,0.00933764
9/3/2020,2020-07,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,19,Song,US,0.08870755
9/3/2020,2020-07,applemusic,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.00884986
9/2/2020,2020-07,itunesmatch,John King Cave,Devil Rides Beside,QZDA82018398,3,Song,US,0.00162797
9/26/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,NO,0.0067181
9/26/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,NL,0.00292066
9/27/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,1,Song,US,0.000927
9/27/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,US,0.004341
9/27/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,20,Song,US,0.10777301
9/27/2020,2020-07,spotify,John King Cave,Devil Rides Beside,QZDA82018398,2,Song,US,0.003512
