2020-03,Gethsemane,132
,Junebug,19
,Only a Child of Roses,31
,Solo Un Niño De Rosas,8
2020-04,Gethsemane,132
,Junebug,19
,Only a Child of Roses,30
,Solo Un Niño De Rosas,7
2020-05,Gethsemane,64
,Devil Rides Beside,31
,She Could Be Mine (feat. Split Philthy),24
,Dukeland (Aug. '18),22
,In Harlem,20
,Only a Child of Roses,22
,Looking,22
,Dukeland,19
,Junebug,18
,"Fantasy, TX",18
,RV Park,17
,Solo Un Niño De Rosas,3
,2062 CE,1
,,
,,
,,
,,
2020-06,Sing a Song,28
,Labyrinth of Faith,25
,Gran Torino (feat. Naomi Vang),37
,She's Coming Down The Line,13
