Album Title,Song Title,Track,Lyrics,Duration,Release Date,Instruments,Synthesizer,Pedal Steel Guitar,Vocals,Backup Vocals,Banjo,Clarinet,Alto Sax,Tambourine,Kneeclaps,Harmonica,Electric Guitar,Bass Guitar,Keyboard,Piano,Classical Guitar,Trumpet,Acoustic Guitar,Flute,Trombone,Singing Saw,Drums,Genres,Folk,Country,Pop,Americana,Electronic,Rock,HipHop,Blues,Alternative,Indie,Gospel,ISRC
Emotion / Tread Light,2062 CE,3,"Tread light

And I'll burn my eyes, tread light

Light",0:04:05,1/1/2020,synthesizer;pedal steel guitar;vocals,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,folk;pop;rock;,1,0,1,0,0,1,0,0,0,1,0,
Oh My Love,Country Western Bar,9,"Will you take me in your arms to the country western bar?
Country western bar, take me in your arms
Will you take me in your arms and fly me to the stars
When we turn to dust upon the earth?

We could cure these blues in our country western shoes
Country western shoes, dance the whole night through
We could dance the whole night through until our feet are bruised
When we turn to dust upon the earth

I feel our love is burning in me like a coffee cup
Just like a coffee cup, darlin', we better drink it up
We better drink it up before it's cold as mud
When we turn to dust upon the earth

Will you walk along my side down the city streets tonight?
City streets tonight, darlin', walk it all my life
Will you walk it all my life into the morning light
When we turn to dust upon the earth?

You know the wintertime is coming, and I can feel it on the midst
I feel it on the midst, darlin', won't you take this kiss
Darlin' won't you take this kiss before it's in the ditch
When we turn to dust upon the earth

And the big black moon is rising in the heavy metal skies
Heavy metal skies, darlin', lord I don't know why but
I'm gonna love you 'till the day I die
When we turn to dust upon the earth
When we turn to dust upon the earth.",0:03:03,12/25/2020,vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,country;folk;,1,1,0,0,0,0,0,0,0,0,0,QZPLR2031051
Devil Rides Beside,Devil Rides Beside,9,"Sun's goin' down, 
Everybody knows it's time to go home
But my house burned to the ground, 
Mine is a pile of stick and stone
Summer breeze gonna break me down, 
Crying on the backyard porch
Devil rides beside me now, 
I never been so far off course
Tonight I give you all I own, 
a rusty spoon and a mortar shell
I won't be back tomorrow morn
But I hope this letter finds you well
If anybody asks you where I went, 
Tell em' they don't need to know
I just had to catch my breath, 
Look out thunder, here I roll

If you are sleeping, I won’t dare to wake you
Just keep on dreaming, hope the day don’t break you
I’ll keep believing that the lord can save you somehow
Damn it child, it’s a long way down

Walking on that beat down road, 
Where saints are made and men have died
And I'm thinking about Jesus, 
Wishing I was crucified
Forgive me big brother, 
Don't you know I'm terrified?
Tell mama that I love her, 
Tell Daddy that I'm on his side
I fell asleep in Dukeland,
Woke up down in Mexico
And I met a child of roses 
Giving away all he owned
Some folks carry their homes on their backs
Some folks carry so much worse
Devil rides beside me yet, but
Someday I will lift his curse

You're on the deep end
I am on the bayou
Once I was dreaming
But now I don't have time to
You keep on driving
No one's trying to find you now
Damn it child, you're a long way down

Yesterday the stars were shining
Today they're beaming black as hell
I thought I saw the final light
It was just another old motel
And a voice called as I stepped inside
Said, “what you think you’re doing here?”
I said, “I haven't slept in seventy miles,”
He said, “Rock me mama like a wagon wheel”
Now I'm back in the pouring naked rain
Shining shoes for pigs in sties
I made it to the Bitter End
And I never thought I'd be so high
But the hard part ain't the comedown
It's the climbing back up the hill
When the devil rides beside you
You either know it now, or soon you will

If you are weeping, I won't dare to shake you
If you should meet me, with open arms I'd brace you
My heart is breaking, don't you know I need you now
Damn it child, I'm a long way down",0:06:14,5/1/2020,bass guitar;pedal steel guitar;singing saw;trombone;drums;vocals;flute;electric guitar;acoustic guitar,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,americana;rock;folk;,1,0,0,1,0,1,0,0,0,1,0,QZDA82018398
Devil Rides Beside,Dukeland,5,"She came in with a service dog
Eyes wide shut and a wad of cocaine in her pocket
I held her hand in the parking lot
Asked her where she got that scar and she nearly lost it

She said, “I shot my head,
I shot my heart,
Shot my soul but the gun wouldn’t start,
And I started to pray,

""I lost my friends, lost my faith
Hanging around in a sorry state called Dukeland""

I took her to church and held her close
She took us to McDonalds and we started smoking
We drove all night on Juan Tabo
She asked me, “Is there any place you’d like to go?”
And I said, “You got the rocket.”

She left town on a belly ache
Wrote me a letter from the DEA
And I cried

She said, “Kings may rise and fade away,
But no one dies and no one’s saved in Dukeland.""

Get me away from Dukeland.",0:02:36,5/1/2020,flute;piano;vocals;acoustic guitar;synthesizer;singing saw,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,folk;,1,0,0,0,0,0,0,0,0,1,0,QZDA82018396
Dukeland (Aug. '18),Dukeland (Aug. '18),1,"She came in with a service dog
Eyes wide shut and a wad of cocaine in her pocket
I held her hand in the parking lot
Asked her where she got that scar and she nearly lost it

She said, “I shot my head,
I shot my heart,
Shot my soul but the gun wouldn’t start,
And I started to pray,

""I lost my friends, lost my faith
Hanging around in a sorry state called Dukeland""

I took her to church and held her close
She took us to McDonalds and we started smoking
We drove all night on Juan Tabo
She asked me, “Is there any place you’d like to go?”
And I said, “You got the rocket.”

She left town on a belly ache
Wrote me a letter from the DEA
And I cried

She said, “Kings may rise and fade away,
But no one dies and no one’s saved in Dukeland.""

Get me away from Dukeland.",0:02:40,5/15/2020,voals;acoustic guitar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,folk;indie;,1,0,0,0,0,0,0,0,0,1,0,QZES62080001
Emotion / Tread Light,Emotion,1,"Emotion, I turn to sand before I reach the ocean
And I wait a thousand years to feel your motion

I shut my heart in a little black box
Throw away the key and lock
Wrap it tight with a pretty pink bow
Ride me high like roshambo 
Emotion, give me that sweet emotion

Emotion, like a newborn child crying for his mama's attention
Emotion, like a refugee free from a life of detention

I ride over dunes and fields
Camp at night with my flint and feels
Pack ‘em up at the break of dawn
Stamp out the fire and carry on 
Emotion, would you give me that sweet emotion?
Emotion, would you give me that sweet emotion?

Emotion, like the sun goin' down the San Francisco skyline
Emotion, like the fog above the New York City highrise

I jump the horse, race up the stairs
And at the top unpack my wares
Gonna leave my heart at my true love's door
Gonna run till I can't run no more 
Emotion, would you give me that sweet emotion?
Emotion, would you give me that sweet emotion?",0:04:21,1/1/2020,synthesizer;electric guitar;vocals;backup vocals;trumpet;bass guitar;drums,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,folk;pop;rock;,1,0,1,0,0,1,0,0,0,0,0,
Devil Rides Beside,"Fantasy, TX",2,"I'm in the graveyard 
In my daddy's snowshoes 
I'm in the tiger's jaws tonight 
And honey I'd come outside 
But the darkness, it feels too bright 
You peel your lemons, I roll the dice 
My hands are heavy,
But they're reaching toward the light

My guitar, it is broken
And my feet are burning 
And my walking shoes are wearing out 
And you tell me that the oil is drilled, and 
There's nobody left in doubt
I dance on the chimney 
Of the smokin' house 
And though the spirit’s in me, 
She's laughing 'round the bout

My hero's fallen, dead and forgotten 
And soon I'll be rotten too 
But still I'm gonna throw my chips 
On his broken record blues
One hand on the stick shift,
One foot on the moon
My head's in a whirlwind, 
And my soul is split in two

But I pray for paradise in Fantasy, Texas 
And I pray for sunshine on a sheet of ice
Sometimes I pray that it all turns out alright 
Though my luck is fading,
And my dreams are dust,
And my heart is aching,
You know my tears will never rust",0:03:52,5/1/2020,pedal steel guitar;tambourine;synthesizer;electric guitar;bass guitar;drums;vocals;backup vocals,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,folk;rock;americana;,1,0,0,1,0,1,0,0,0,1,0,QZDA82018394
Devil Rides Beside,Gethsemane,8,"Brother help me off the road of darkness I’m walking on
For all I have forgotten comes to haunt me long
Hard times are coming, I’m moving on
I’m running!
Brother, I’m running!

Until the siren passes you’re gonna keep smiling
For all you love won’t last in the hour of bad timing
Old roads are crumbling, but the new one is going gone
Like nothing!
Brother, like nothing!

Hard choices, easy living, that’s what David told me
But even Jesus Christ, he cried in the garden of Gethsemane
Tell me my brother, what's going on? I been praying
My god, are you watching? I'm looking up. 
Am I crazy?",0:04:36,5/1/2020,bass guitar;drums;vocals;backup vocals;electric guitar;synthesizer;trumpet;harmonica;,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,rock;indie;,0,0,0,0,0,1,0,0,0,1,0,QZDA72018156
Oh My Love,Goin' Out There,3,"Well, listen up pretty mama you been on my mind
I been dreamin' about you girl since the dawn of time
When fish could learn to talk, and dogs took to the moon
I been dreamin' about you darlin' since 1962

I'm goin' out there, I'm goin' out to see the ocean blue
I'm goin' out there, I'm goin' out to see my dream come true
I'm goin' out there, I'm goin' out 
And I'm dreaming of you know who

For you I'd climb a mountain with a backpack of bricks
I would sail across an ocean with a pair of chopsticks
I would saddle up a zebra, if that's what pleases you
Yeah I'd do anything for you girl just to be close to you

I'm goin' out there, I'm goin' out to see the ocean blue
I'm goin' out there, I'm goin' out to see my dream come true
I'm goin' out there, I'm goin' out
And I'm dreaming of you know who

And even though you're just a figment of my imagination
I'd love to take you down to the railroad station
We could take a trip out west, to paradise only we could view
You know I do believe in heaven, if you believe in me too

I'm goin' out there, I'm goin' out to see the ocean blue
I'm goin' out there, I'm goin' out to see my dream come true
I'm goin' out there, I'm goin' out
And I'm dreaming of you know who",0:04:50,12/25/2020,vocals;backup vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,country;americana;blues;,0,1,0,1,0,0,0,1,0,0,0,QZPLR2031047
720 Split,Gran Torino (feat. Naomi Vang),1,"Babe, this is a dream world, and you my dream girl
Pack up your bags 'cause we headed outta town for the long camino
Travellin’ west to Reno, I'll pick you up in my Gran Torino
Me and my bad bambina, we hit the Lux casino
Cash in the backseat sippin' on a cold mojito
I put my foot on the gas zoom zoom muy rápido
This is Burque tho, we go slow

Como Hey Love, are you living for the moment?
Soy como Hey Love, or just riding through the motion?
[Hey nanina, boy, hey nanina]

OK so actually I drive a used Honda
I get my fix at the supermercado, I always order horchata 
‘Cause the AC's broke and the summer heat keeps beatin' hotta
Money? I got nada
I live cheek to cheek, chica, vision to vision
They say “your head in the clouds ese”, I say I musta ascended
Did I fail to mention I flew back from the future
You and I were in it, got a minute?

Como Hey Love, are you living for the moment?
I’m singin’ Hey Love, or just riding through the motion?

And I’m like Hey Love [Hey nanina, boy, hey nanina]
Hey Love [Oye como va oye oye como va va]

Hey Love, Hey Love, Hey Love
Why don't you come on home?
Or pick up your phone?
Maybe I don't got a Gran Torino
But I got game in Gran Turismo
I got a big heart and it beats for Cristo
Wanna make you my esposa
Ojo to ojo, chica

Hey Love, are you living for the moment? [Oooooooooh]
Soy como Hey Love, or just riding through the motion?

And I’m like Hey Love [Hey nanina, boy, hey nanina]
Hey Love [Oye como va, oye oye como]
Hey Love  [Hey nanina, boy, hey nanina]
And I’m like Hey Love [Oye como va, oye oye como va va]

And I never quit
Hip hop, get ready for it
Get ready for it
Get ready for it.",0:03:04,6/12/2020,synthesizer;vocals;backup vocals;bass;drums,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,pop;electronic;indie,0,0,1,0,1,0,0,0,0,1,0,QZHN62061966
